,book,author,price
53,การิน ปริศนาคดีสยอง อาถรรพ์สาปซ่อนศพ เล่ม 3 (LN),อัยย์,242.10 บาท
54,บิงโก เกมฆาตกร เปิดกฎฆ่า,ปราปต์,212.00 บาท
55,จิตกาธาน,สรจักร,268.00 บาท
56,สาปภูษา (ปกใหม่),พงศกร,465.00 บาท
57,ผมสืบคดีฆาตกรรมในวันสิ้นโลก LOOK UP AT GOD'S DICE,ชิเน็น มิกิโตะ,292.50 บาท
58,ฆาตกรรมเดอะมิวสิคัล,ภาณิณ,281.00 บาท
59,คนดีตายหมดแล้ว,สรจักร,260.00 บาท
60,การิน ปริศนาคดีสยอง ตอนที่ 2 ปริศนาตำนานคฤหาสน์ผี,อัยย์,242.10 บาท
61,การิน ปริศนาคดีสยอง ลำดับที่ 1 สาปสยองป่าอาถรรพ์ (LN),อัยย์,242.10 บาท
62,ฆาตกรรมกุหลาบดำ (วินทร์ เลียววาริณ) นวนิยายรหัสคดี ชุดที่ 9,วินทร์ เลียววาริณ,256.50 บาท
63,การิน BLACX ปริศนาคดีอาถรรพ์สีดำ เล่ม 6 (Mg),อัยย์/Black Tohfu,136.80 บาท
64,การิน Blacx ปริศนาอาถรรพ์สีดำ เล่ม 5 (Mg),อัยย์/Black Tohfu,152.10 บาท
65,High school detective คู่ป่วนปริศนาไขคดีฆาตกรรม,K.Tears,252.00 บาท
66,การิน ปริศนาคดีอาถรรพ์ คดีที่ 11: ปัจฉิมบทลิขิตตอนธการ จบภาค (LN),อัยย์,242.10 บาท
67,ยังยี้สาวน้อยยอดนักสืบ ตอน คดีฆาตกรรมปริศนา,แมวสีฟ้าจากอนาคต,270.00 บาท
68,การิน BLACX ปริศนาอาถรรพ์ สีดำ เล่ม 4 (Mg),อัยย์/Black Tohfu,152.10 บาท
69,การิน BLACX ปริศนาอาถรรพ์ สีดำ เล่ม 3 (Mg),อัยย์/Black Tohfu,152.10 บาท
70,การิน ปริศนาคดีอาถรรพ์ คดีที่ 15 บทกลาง : จตุรอาถรรพ์สถาน (Mg),อัยย์,76.50 บาท
71,การิน Blacx ปริศนาอาถรรพ์ สีดำ เล่ม 2 ตอน กลัวมือ (Mg),อัยย์/Black Tohfu,152.10 บาท
